"Visserij en aquacultuur; prijzen verse vis, schaal- en schelpdieren"
""
""
"Onderwerp";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen";"Prijzen"
"Vissoorten, schaal- en schelpdieren";"Europese kreeft";"Griet";"Noordzee garnalen";"Noordzeekrab";"Langoustine (Noorse kreeft)";"Mossel";"Oesters";"Kabeljauw";"Rode poon";"Schar";"Schelvis";"Schol";"Tarbot";"Tong";"Wijting";"Zeebaars"
"Perioden";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg";"euro per 1 000 kg"
"1994";".";"5559";"2514";".";".";".";".";"1538";".";"1098";"1035";"1538";"7251";"5559";"740";"."
"2000";".";"6720";"3372";".";"4511";".";".";"2537";".";"1615";"1629";"1743";"8930";"8617";"998";"."
"2005";".";"8160";"2630";".";"4790";"936";".";"2390";".";"900";"1430";"2020";"9610";"10430";"1100";"."
"2010";".";"6420";"2710";".";"5200";"1230";".";"2540";"2034";"760";"1440";"1320";"10590";"11480";"1010";"9236"
"2015 ";"17549";"6401";"3645";"1307";"6401";"1058";"4837";"2789";"1745";"769";"1944";"1530";"9487";"10598";"1049";"12505"
"2016";"15338";"7189";"7384";"1393";"6775";"843";"4688";"2918";"1554";"975";"2058";"1707";"9219";"10891";"1091";"14364"
"2018";"13914";"9081";"3344";"1515";"6049";"1134";"5389";"2790";"2168";"1023";"1564";"2569";"10726";"11580";"1055";"12563"
"2019";"13586";"6724";"2760";"1804";"5677";"1197";"2650";"2908";"2337";"917";"1936";"2456";"9831";"11815";"1157";"12360"
"2020 juni";"16712";"6062";"4172";"1913";"3882";"1373";".";"3593";"2302";"732";"1714";"1976";"6817";"11606";"1821";"14101"
"2020 juli";"12717";"6379";"3540";"1659";"3802";"1562";".";"3530";"2344";"495";"1941";"2144";"8535";"10630";"1516";"13590"
"2020 augustus";"6524";"5913";"2741";"1286";"3330";"1521";".";"4136";"1825";"631";"1570";"2264";"8449";"9986";"1773";"13821"
"2020 september";"6327";"5783";"2785";"1546";"3496";"1465";".";"4233";"1428";"445";"2274";"2343";"7195";"8606";"1784";"12337"
"2020";"11667";"6538";"3221";"1821";"3800";"1381";"3711";"3362";"1607";"693";"1637";"2116";"7956";"10022";"1252";"11258"
"2021 juni*";"18289";"9941";"5700";"2232";"5303";"1900";".";"3151";"2206";"737";"1062";"2140";"9373";"11569";"1681";"13226"
"2021 juli*";"13732";"12010";"4923";"2369";"5318";"2388";".";"3916";"1921";"595";"1022";"2299";"12982";"12969";"1445";"14984"
"2021 augustus*";"7841";"10424";"3103";"1875";"4984";"2261";".";"3617";"2408";"758";"996";"2417";"12898";"13090";"1650";"15978"
"2021 september*";"9195";"9918";"2796";"1780";"4874";"2123";".";"3413";"1719";"889";"684";"2603";"11582";"11933";"1731";"13439"
"Bron: CBS"
