year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2003;United Kingdom;Flatfish;Halibut, Atlantic;PS5 Unspecified;PR4 Unspecified;      1488000,00;       187000,00;            7,96
2005;Spain;Groundfish;Pollack;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;Denmark;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       341000,00;       106000,00;            3,22
2005;Denmark;Flatfish;Flounder, European;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;Denmark;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        58000,00;        18000,00;            3,22
2001;Denmark;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     21689000,00;      2100000,00;           10,33
2001;Estonia;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Estonia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Estonia;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Spain;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1188000,00;       153000,00;            7,76
2001;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;     11958000,00;       714000,00;           16,75
2001;Spain;Other marine fish;Seabass, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Spain;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;Sweden;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;       123000,00;         6000,00;           20,50
2001;Germany;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;France;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      1168000,00;       251000,00;            4,65
2009;Belgium;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      3835416,00;       530000,00;            7,24
2009;Bulgaria;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       809649,00;       293000,00;            2,76
2001;Spain;Other marine fish;Red mullet;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Spain;Bivalves and other molluscs and aquatic invertebrates;Scallop;PS5 Unspecified;PR4 Unspecified;       663000,00;       110000,00;            6,03
2001;Spain;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     62854000,00;      9382000,00;            6,70
2009;Germany;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      1441650,00;       525000,00;            2,75
2009;Germany;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      3075380,00;       385000,00;            7,99
2009;Denmark;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;         2071,00;            0,00;
2001;Portugal;Flatfish;Brill;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Portugal;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     24383000,00;      2763000,00;            8,82
2001;Portugal;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;United Kingdom;Flatfish;Halibut, Atlantic;PS5 Unspecified;PR4 Unspecified;       804000,00;        80000,00;           10,05
2002;France;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;       260000,00;        20000,00;           13,00
2002;France;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     16160000,00;      3367000,00;            4,80
